bst, avl, splay_order, splay_random_1, splay_random_2, splay_random_3, splay_random_4, splay_random_5,
230,9,3,9,0,0,0,0, 
231,6,1,10,0,0,0,0, 
232,9,3,12,0,0,0,0, 
233,8,1,13,0,0,0,0, 
234,9,2,13,0,0,0,0, 
235,7,1,9,0,0,0,0, 
236,9,7,18,0,0,0,0, 
237,8,3,13,0,0,0,0, 
238,9,3,6,0,0,0,0, 
239,5,1,13,0,0,0,0, 
240,9,3,19,0,0,0,0, 
241,8,1,10,0,0,0,0, 
242,9,2,18,0,0,0,0, 
243,7,1,13,0,0,0,0, 
244,9,5,17,0,0,0,0, 
245,8,2,6,0,0,0,0, 
246,9,3,15,0,0,0,0, 
247,6,1,17,0,0,0,0, 
248,9,3,11,0,0,0,0, 
249,8,1,14,0,0,0,0, 
250,9,2,16,0,0,0,0, 
251,7,1,16,0,0,0,0, 
252,9,5,8,0,0,0,0, 
253,8,2,12,0,0,0,0, 
254,9,3,13,0,0,0,0, 
255,1,1,8,0,0,0,0, 
256,9,3,12,0,0,0,0, 
257,8,1,12,0,0,0,0, 
258,9,2,7,0,0,0,0, 
259,7,1,14,0,0,0,0, 
260,9,4,16,0,0,0,0, 
261,8,2,15,0,0,0,0, 
262,9,3,8,0,0,0,0, 
263,6,1,7,0,0,0,0, 
264,9,3,13,0,0,0,0, 
265,8,1,14,0,0,0,0, 
266,9,2,13,0,0,0,0, 
267,7,1,12,0,0,0,0, 
268,9,7,14,0,0,0,0, 
269,8,3,15,0,0,0,0, 
270,9,3,13,0,0,0,0, 
271,5,1,10,0,0,0,0, 
272,9,3,11,0,0,0,0, 
273,8,1,11,0,0,0,0, 
274,9,2,14,0,0,0,0, 
275,7,1,9,0,0,0,0, 
276,9,5,14,0,0,0,0, 
277,8,2,11,0,0,0,0, 
278,9,3,18,0,0,0,0, 
279,6,1,14,0,0,0,0, 
280,9,3,14,0,0,0,0, 
281,8,1,11,0,0,0,0, 
282,9,2,9,0,0,0,0, 
283,7,1,9,0,0,0,0, 
284,9,5,10,0,0,0,0, 
285,8,2,11,0,0,0,0, 
286,9,3,9,0,0,0,0, 
287,4,1,6,0,0,0,0, 
288,9,3,18,0,0,0,0, 
289,8,1,9,0,0,0,0, 
290,9,2,11,0,0,0,0, 
291,7,1,12,0,0,0,0, 
292,9,4,13,0,0,0,0, 
293,8,2,18,0,0,0,0, 
294,9,3,7,0,0,0,0, 
295,6,1,11,0,0,0,0, 
296,9,3,4,0,0,0,0, 
297,8,1,19,0,0,0,0, 
298,9,2,14,0,0,0,0, 
299,7,1,17,0,0,0,0, 
300,9,6,6,0,0,0,0, 
301,8,3,21,0,0,0,0, 
302,9,3,9,0,0,0,0, 
303,5,1,10,0,0,0,0, 
304,9,3,14,0,0,0,0, 
305,8,1,10,0,0,0,0, 
306,9,2,11,0,0,0,0, 
307,7,1,11,0,0,0,0, 
308,9,5,15,0,0,0,0, 
309,8,2,15,0,0,0,0, 
310,9,3,9,0,0,0,0, 
311,6,1,15,0,0,0,0, 
312,9,3,10,0,0,0,0, 
313,8,1,17,0,0,0,0, 
314,9,2,14,0,0,0,0, 
315,7,1,9,0,0,0,0, 
316,9,5,12,0,0,0,0, 
317,8,2,12,0,0,0,0, 
318,9,3,15,0,0,0,0, 
319,3,1,9,0,0,0,0, 
320,9,3,8,0,0,0,0, 
321,8,1,8,0,0,0,0, 
322,9,2,16,0,0,0,0, 
323,7,1,14,0,0,0,0, 
324,9,4,13,0,0,0,0, 
325,8,2,11,0,0,0,0, 
326,9,3,13,0,0,0,0, 
327,6,1,9,0,0,0,0, 
328,9,3,11,0,0,0,0, 
329,8,1,13,0,0,0,0, 
330,9,2,14,0,0,0,0, 
331,7,1,10,0,0,0,0, 
332,9,9,5,0,0,0,0, 
333,8,4,15,0,0,0,0, 
334,9,4,12,0,0,0,0, 
335,5,2,16,0,0,0,0, 
336,9,4,9,0,0,0,0, 
337,8,2,17,0,0,0,0, 
338,9,3,18,0,0,0,0, 
339,7,1,10,0,0,0,0, 
340,9,6,14,0,0,0,0, 
341,8,3,13,0,0,0,0, 
342,9,3,3,0,0,0,0, 
343,6,1,16,0,0,0,0, 
344,9,3,12,0,0,0,0, 
345,8,1,10,0,0,0,0, 
346,9,2,15,0,0,0,0, 
347,7,1,14,0,0,0,0, 
348,9,6,9,0,0,0,0, 
349,8,3,17,0,0,0,0, 
350,9,3,10,0,0,0,0, 
351,4,1,13,0,0,0,0, 
352,9,3,12,0,0,0,0, 
353,8,1,17,0,0,0,0, 
354,9,2,13,0,0,0,0, 
355,7,1,6,0,0,0,0, 
356,9,5,11,0,0,0,0, 
357,8,2,7,0,0,0,0, 
358,9,3,11,0,0,0,0, 
359,6,1,16,0,0,0,0, 
360,9,3,9,0,0,0,0, 
361,8,1,10,0,0,0,0, 
362,9,2,11,0,0,0,0, 
363,7,1,11,0,0,0,0, 
364,9,7,11,0,0,0,0, 
365,8,3,8,0,0,0,0, 
366,9,3,17,0,0,0,0, 
367,5,1,11,0,0,0,0, 
368,9,3,11,0,0,0,0, 
369,8,1,12,0,0,0,0, 
370,9,2,15,0,0,0,0, 
371,7,1,11,0,0,0,0, 
372,9,5,15,0,0,0,0, 
373,8,2,8,0,0,0,0, 
374,9,3,18,0,0,0,0, 
375,6,1,7,0,0,0,0, 
376,9,3,19,0,0,0,0, 
377,8,1,7,0,0,0,0, 
378,9,2,11,0,0,0,0, 
379,7,1,10,0,0,0,0, 
380,9,5,17,0,0,0,0, 
381,8,2,17,0,0,0,0, 
382,9,3,8,0,0,0,0, 
383,2,1,15,0,0,0,0, 
384,9,3,13,0,0,0,0, 
385,8,1,10,0,0,0,0, 
386,9,2,18,0,0,0,0, 
387,7,1,14,0,0,0,0, 
388,9,4,8,0,0,0,0, 
389,8,2,15,0,0,0,0, 
390,9,3,18,0,0,0,0, 
391,6,1,11,0,0,0,0, 
392,9,3,11,0,0,0,0, 
393,8,1,7,0,0,0,0, 
394,9,2,13,0,0,0,0, 
395,7,1,12,0,0,0,0, 
396,9,7,11,0,0,0,0, 
397,8,3,10,0,0,0,0, 
398,9,3,11,0,0,0,0, 
399,5,1,14,0,0,0,0, 
400,9,3,15,0,0,0,0, 
401,8,1,15,0,0,0,0, 
402,9,2,12,0,0,0,0, 
403,7,1,17,0,0,0,0, 
404,9,5,18,0,0,0,0, 
405,8,2,12,0,0,0,0, 
406,9,3,15,0,0,0,0, 
407,6,1,11,0,0,0,0, 
408,9,3,12,0,0,0,0, 
409,8,1,18,0,0,0,0, 
410,9,2,20,0,0,0,0, 
411,7,1,14,0,0,0,0, 
412,9,5,15,0,0,0,0, 
413,8,2,12,0,0,0,0, 
414,9,3,17,0,0,0,0, 
415,4,1,9,0,0,0,0, 
416,9,3,13,0,0,0,0, 
417,8,1,7,0,0,0,0, 
418,9,2,7,0,0,0,0, 
419,7,1,13,0,0,0,0, 
420,9,4,20,0,0,0,0, 
421,8,2,19,0,0,0,0, 
422,9,3,17,0,0,0,0, 
423,6,1,13,0,0,0,0, 
424,9,3,13,0,0,0,0, 
